,Date,City,State,CompAddress,PartialAddress
42,2022-11-11,Hyattsville,Maryland,"1500 block of Madison St, Hyattsville, Maryland, USA","Hyattsville, Maryland, USA"
43,2022-11-11,Seffner,Florida,"4000 block of Brower Dr, Seffner, Florida, USA","Seffner, Florida, USA"
44,2022-11-11,Chicago,Illinois,"7300 S South Shore Dr, Chicago, Illinois, USA","Chicago, Illinois, USA"
45,2022-11-11,Sanford,Florida,"900 W 9th St, Sanford, Florida, USA","Sanford, Florida, USA"
46,2022-11-11,Modesto,California,"1501 Coffee Rd, Modesto, California, USA","Modesto, California, USA"
47,2022-11-11,Citrus Heights,California,"7795 Antelope Rd, Citrus Heights, California, USA","Citrus Heights, California, USA"
48,2022-11-11,Jacksonville,Florida,"3600 Ring Ln, Jacksonville, Florida, USA","Jacksonville, Florida, USA"
49,2022-11-11,South Bend,Indiana,"1300 block of Vassar Ave, South Bend, Indiana, USA","South Bend, Indiana, USA"
50,2022-11-11,Jacksonville,Florida,"628 Winona Dr, Jacksonville, Florida, USA","Jacksonville, Florida, USA"
51,2022-11-11,Tell City,Indiana,"Main St, Tell City, Indiana, USA","Tell City, Indiana, USA"
52,2022-11-11,Greensboro,North Carolina,"Pearson St and Ross Ave, Greensboro, North Carolina, USA","Greensboro, North Carolina, USA"
53,2022-11-11,Augusta,Georgia,"1931 Murphy Rd, Augusta, Georgia, USA","Augusta, Georgia, USA"
54,2022-11-11,North Little Rock,Arkansas,"3900 block of McCain Blvd, North Little Rock, Arkansas, USA","North Little Rock, Arkansas, USA"
55,2022-11-10,Memphis,Tennessee,"Julann Dr and Pickering Dr, Memphis, Tennessee, USA","Memphis, Tennessee, USA"
56,2022-11-10,Hyattsville (Landover),Maryland,"E Ridge Dr and E Spring Pl, Hyattsville (Landover), Maryland, USA","Hyattsville (Landover), Maryland, USA"
57,2022-11-10,Arlington,Texas,"600 block of E Lynn Creek Dr, Arlington, Texas, USA","Arlington, Texas, USA"
58,2022-11-10,Detroit,Michigan,"20100 block of Ardmore St, Detroit, Michigan, USA","Detroit, Michigan, USA"
59,2022-11-10,Detroit,Michigan,"Pilgrim St and Meyers Rd, Detroit, Michigan, USA","Detroit, Michigan, USA"
60,2022-11-10,Albuquerque,New Mexico,"400 Roma Ave NW, Albuquerque, New Mexico, USA","Albuquerque, New Mexico, USA"
61,2022-11-10,Fayetteville,North Carolina,"Lawndale St, Fayetteville, North Carolina, USA","Fayetteville, North Carolina, USA"
62,2022-11-10,Toledo,Ohio,"2700 block of Albion St, Toledo, Ohio, USA","Toledo, Ohio, USA"
63,2022-11-10,Chicago,Illinois,"50 block of W 95th St, Chicago, Illinois, USA","Chicago, Illinois, USA"
64,2022-11-10,Cleveland (Garfield Heights),Ohio,"11200 block of Mountview Ave, Cleveland (Garfield Heights), Ohio, USA","Cleveland (Garfield Heights), Ohio, USA"
65,2022-11-10,Albany,New York,"300 block of Second St, Albany, New York, USA","Albany, New York, USA"
66,2022-11-10,North Las Vegas,Nevada,"3300 block of Civic Center Dr, North Las Vegas, Nevada, USA","North Las Vegas, Nevada, USA"
67,2022-11-10,Atlanta,Georgia,"3478 Lakeside Dr, Atlanta, Georgia, USA","Atlanta, Georgia, USA"
68,2022-11-10,Corona (Queens),New York,"77th Rd and Main St, Corona (Queens), New York, USA","Corona (Queens), New York, USA"
69,2022-11-10,Brooklyn,New York,"W 36th St and Neptune Ave, Brooklyn, New York, USA","Brooklyn, New York, USA"
70,2022-11-10,Decatur,Georgia,"Burgess Dr, Decatur, Georgia, USA","Decatur, Georgia, USA"
71,2022-11-10,Pueblo,Colorado,"3600 block of Dillon Dr, Pueblo, Colorado, USA","Pueblo, Colorado, USA"
72,2022-11-10,Katy,Texas,"3200 block of Windmoor Dr, Katy, Texas, USA","Katy, Texas, USA"
73,2022-11-10,Little Rock,Arkansas,"13500 Chenal Pkwy, Little Rock, Arkansas, USA","Little Rock, Arkansas, USA"
74,2022-11-10,Selma,Alabama,"600 block of Martin Luther King Ave, Selma, Alabama, USA","Selma, Alabama, USA"
75,2022-11-10,Miami,Florida,"665 Ives Dairy Rd, Miami, Florida, USA","Miami, Florida, USA"
76,2022-11-10,Baltimore,Maryland,"4300 block of Tucker Cir, Baltimore, Maryland, USA","Baltimore, Maryland, USA"
77,2022-11-10,Washington,District of Columbia,"4500 block of Quarles St NE, Washington, District of Columbia, USA","Washington, District of Columbia, USA"
78,2022-11-10,Washington,District of Columbia,"Pomeroy Rd SE and Stanton Rd SE, Washington, District of Columbia, USA","Washington, District of Columbia, USA"
79,2022-11-10,El Paso,Texas,"8600 block of Roberts Dr, El Paso, Texas, USA","El Paso, Texas, USA"
80,2022-11-10,Indianapolis,Indiana,"3400 block of N Grant Ave, Indianapolis, Indiana, USA","Indianapolis, Indiana, USA"
81,2022-11-10,Philadelphia,Pennsylvania,"1300 block of Somerset St, Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA"
82,2022-11-10,Chicago,Illinois,"800 block of E 62nd St, Chicago, Illinois, USA","Chicago, Illinois, USA"
83,2022-11-10,Jacksonville,Florida,"Ring Ln, Jacksonville, Florida, USA","Jacksonville, Florida, USA"
84,2022-11-10,Chicago,Illinois,"50 block of E 75th St, Chicago, Illinois, USA","Chicago, Illinois, USA"
85,2022-11-10,Chicago,Illinois,"4400 block of S Calumet Ave, Chicago, Illinois, USA","Chicago, Illinois, USA"
86,2022-11-10,Shreveport,Louisiana,"400 block of Boulevard St, Shreveport, Louisiana, USA","Shreveport, Louisiana, USA"
87,2022-11-10,Swainsboro,Georgia,"226 Washington St, Swainsboro, Georgia, USA","Swainsboro, Georgia, USA"
88,2022-11-10,New Orleans,Louisiana,"5104 St Claude Ave, New Orleans, Louisiana, USA","New Orleans, Louisiana, USA"
89,2022-11-10,Los Angeles,California,"2300 block of N Cahuenga Blvd, Los Angeles, California, USA","Los Angeles, California, USA"
90,2022-11-10,Baton Rouge,Louisiana,"11314 Boardwalk Dr, Baton Rouge, Louisiana, USA","Baton Rouge, Louisiana, USA"
91,2022-11-09,Oakton,Virginia,"11400 block of Waples Mill Rd, Oakton, Virginia, USA","Oakton, Virginia, USA"
92,2022-11-09,Hatton,Alabama,"8000 block of County Rd 236, Hatton, Alabama, USA","Hatton, Alabama, USA"
93,2022-11-09,Kansas City,Kansas,"2700 block of Wood Ave, Kansas City, Kansas, USA","Kansas City, Kansas, USA"
94,2022-11-09,Hartford,Connecticut,"Capen St and Main St, Hartford, Connecticut, USA","Hartford, Connecticut, USA"
95,2022-11-09,Toledo,Ohio,"3852 Leybourn Ave, Toledo, Ohio, USA","Toledo, Ohio, USA"
96,2022-11-09,Grand Junction,Colorado,"1100 block of 22 Rd, Grand Junction, Colorado, USA","Grand Junction, Colorado, USA"
97,2022-11-09,Chicago,Illinois,"10600 block of S Yates Ave, Chicago, Illinois, USA","Chicago, Illinois, USA"
98,2022-11-09,North Las Vegas,Nevada,"Craig Rd and Revere St, North Las Vegas, Nevada, USA","North Las Vegas, Nevada, USA"
99,2022-11-09,Kingsburg,California,"801 Stroud Ave, Kingsburg, California, USA","Kingsburg, California, USA"
100,2022-11-09,Tampa,Florida,"8600 block of N 11th St, Tampa, Florida, USA","Tampa, Florida, USA"
101,2022-11-09,Silver Spring,Maryland,"554 Southampton Dr, Silver Spring, Maryland, USA","Silver Spring, Maryland, USA"
102,2022-11-09,Chandler,Arizona,"E Pecos Rd and S Arizona Ave, Chandler, Arizona, USA","Chandler, Arizona, USA"
103,2022-11-09,Denver (Northglenn),Colorado,"Fox Run Pkwy and Fox Run Cir, Denver (Northglenn), Colorado, USA","Denver (Northglenn), Colorado, USA"
104,2022-11-09,Pittsburgh,Pennsylvania,"1928 Cochran Rd, Pittsburgh, Pennsylvania, USA","Pittsburgh, Pennsylvania, USA"
105,2022-11-09,Urbana,Illinois,"1300 block of S Philo Rd, Urbana, Illinois, USA","Urbana, Illinois, USA"
106,2022-11-09,Philadelphia,Pennsylvania,"5401 Akron St, Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA"
107,2022-11-09,Killeen,Texas,"200 block of E Bryce Ave, Killeen, Texas, USA","Killeen, Texas, USA"
108,2022-11-09,Decatur,Georgia,"4740 Flat Shoals Pkwy, Decatur, Georgia, USA","Decatur, Georgia, USA"
109,2022-11-09,Erwin,North Carolina,"Lucas Rd, Erwin, North Carolina, USA","Erwin, North Carolina, USA"
110,2022-11-09,Toledo,Ohio,"600 block of Locust Ave, Toledo, Ohio, USA","Toledo, Ohio, USA"
111,2022-11-09,Corona (Queens),New York,"Parsons Blvd and Franklin Ave, Corona (Queens), New York, USA","Corona (Queens), New York, USA"
112,2022-11-09,Merced,California,"Q St and W 12th St, Merced, California, USA","Merced, California, USA"
113,2022-11-09,Chicago,Illinois,"3700 block of W Chicago Ave, Chicago, Illinois, USA","Chicago, Illinois, USA"
114,2022-11-09,Catoosa,Oklahoma,"25010 Alliance Dr, Catoosa, Oklahoma, USA","Catoosa, Oklahoma, USA"
115,2022-11-09,Connersville,Indiana,"5700 block of S State Rd 1, Connersville, Indiana, USA","Connersville, Indiana, USA"
116,2022-11-09,Newberry,Florida,"27726 SW 87th Ave, Newberry, Florida, USA","Newberry, Florida, USA"
117,2022-11-09,Chicago,Illinois,"W Wallen Ave and N Clark St, Chicago, Illinois, USA","Chicago, Illinois, USA"
118,2022-11-09,Duluth,Georgia,"2350 Stephens Center Dr, Duluth, Georgia, USA","Duluth, Georgia, USA"
119,2022-11-09,Dothan,Alabama,"Miles Lane, Dothan, Alabama, USA","Dothan, Alabama, USA"
120,2022-11-09,Birmingham,Alabama,"4500 Richard Arrington Jr Blvd, Birmingham, Alabama, USA","Birmingham, Alabama, USA"
121,2022-11-09,Boston,Massachusetts,"Paxton St and Harvard St, Boston, Massachusetts, USA","Boston, Massachusetts, USA"
122,2022-11-09,New Orleans,Louisiana,"131000 block of Bishop Morton Dr, New Orleans, Louisiana, USA","New Orleans, Louisiana, USA"
123,2022-11-08,Little Rock,Arkansas,"4612 Grand Ave, Little Rock, Arkansas, USA","Little Rock, Arkansas, USA"
124,2022-11-08,Minneapolis (Brooklyn Park),Minnesota,"6355 Zane Ave N, Minneapolis (Brooklyn Park), Minnesota, USA","Minneapolis (Brooklyn Park), Minnesota, USA"
125,2022-11-08,Richmond,Virginia,"1400 block of Drewry St, Richmond, Virginia, USA","Richmond, Virginia, USA"
126,2022-11-08,Memphis (Bartlett),Tennessee,"6390 Summer Ave, Memphis (Bartlett), Tennessee, USA","Memphis (Bartlett), Tennessee, USA"
127,2022-11-08,South Gate,California,"3000 block of Firestone Blvd, South Gate, California, USA","South Gate, California, USA"
128,2022-11-08,New Haven,Connecticut,"282 Ferry St, New Haven, Connecticut, USA","New Haven, Connecticut, USA"
129,2022-11-08,Jacksonville,North Carolina,"White St, Jacksonville, North Carolina, USA","Jacksonville, North Carolina, USA"
130,2022-11-08,Memphis,Tennessee,"W Levi Rd and Hammett Dr, Memphis, Tennessee, USA","Memphis, Tennessee, USA"
131,2022-11-08,Memphis,Tennessee,"6133 Winchester Rd, Memphis, Tennessee, USA","Memphis, Tennessee, USA"
132,2022-11-08,Whigham,Georgia,"Swamp Creek Rd, Whigham, Georgia, USA","Whigham, Georgia, USA"
133,2022-11-08,Chicago,Illinois,"3401 W Huron St, Chicago, Illinois, USA","Chicago, Illinois, USA"
134,2022-11-08,Columbus,Georgia,"Parkwood Dr and Braebern St, Columbus, Georgia, USA","Columbus, Georgia, USA"
135,2022-11-08,Villa Rica,Georgia,"N Lassetter Cir and Villa Trace, Villa Rica, Georgia, USA","Villa Rica, Georgia, USA"
136,2022-11-08,Lafayette,Colorado,"201 W South Boulder Rd, Lafayette, Colorado, USA","Lafayette, Colorado, USA"
137,2022-11-08,Umatilla,Florida,"38000 block of Merrell Ave, Umatilla, Florida, USA","Umatilla, Florida, USA"
138,2022-11-08,Gainesville,Florida,"100 block of NE 22nd St, Gainesville, Florida, USA","Gainesville, Florida, USA"
139,2022-11-08,Temple Hills (Hillcrest Heights),Maryland,"Jameson St and 21st Ave, Temple Hills (Hillcrest Heights), Maryland, USA","Temple Hills (Hillcrest Heights), Maryland, USA"
140,2022-11-08,Indianapolis,Indiana,"3500 block of Blue Spruce Ln, Indianapolis, Indiana, USA","Indianapolis, Indiana, USA"
141,2022-11-08,Philadelphia,Pennsylvania,"Broad St and Ellsworth St, Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA"
142,2022-11-08,Houston,Texas,"255 Assay St, Houston, Texas, USA","Houston, Texas, USA"
143,2022-11-08,Indianapolis,Indiana,"6000 block of Massachusetts Ave, Indianapolis, Indiana, USA","Indianapolis, Indiana, USA"
144,2022-11-08,Pittsburgh,Pennsylvania,"Reifert St and Roll St, Pittsburgh, Pennsylvania, USA","Pittsburgh, Pennsylvania, USA"
145,2022-11-08,Philadelphia,Pennsylvania,"1900 block of Haworth St, Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA"
146,2022-11-08,Nashville,Tennessee,"1200 block of Sycamore Rd, Nashville, Tennessee, USA","Nashville, Tennessee, USA"
147,2022-11-08,Bancroft,Idaho,"Ivins Rd and Oregon Trail Rd, Bancroft, Idaho, USA","Bancroft, Idaho, USA"
148,2022-11-08,Everett,Pennsylvania,"227 W Main St, Everett, Pennsylvania, USA","Everett, Pennsylvania, USA"
149,2022-11-08,Dallas,Texas,"2355 N Stemmons Fwy, Dallas, Texas, USA","Dallas, Texas, USA"
150,2022-11-08,Outlook,Washington,"Price Rd and Outlook Rd, Outlook, Washington, USA","Outlook, Washington, USA"
151,2022-11-08,Birmingham,Alabama,"5300 block of Ave O, Birmingham, Alabama, USA","Birmingham, Alabama, USA"
152,2022-11-08,Gainesville,Georgia,"1300 block of Brown St, Gainesville, Georgia, USA","Gainesville, Georgia, USA"
153,2022-11-08,Haralson (county),Georgia,,"Haralson (county), Georgia, USA"
154,2022-11-08,Greeley,Colorado,"101 E 20th St, Greeley, Colorado, USA","Greeley, Colorado, USA"
155,2022-11-08,Oklahoma City,Oklahoma,"2501 SE 51st St, Oklahoma City, Oklahoma, USA","Oklahoma City, Oklahoma, USA"
156,2022-11-08,Seattle,Washington,"1819 N 135th St, Seattle, Washington, USA","Seattle, Washington, USA"
157,2022-11-08,Springfield,Massachusetts,"100 block of Walden St, Springfield, Massachusetts, USA","Springfield, Massachusetts, USA"
158,2022-11-07,Troy,Michigan,"2860 Charter Dr, Troy, Michigan, USA","Troy, Michigan, USA"
159,2022-11-07,Fairbanks,Alaska,"1600 block of Washington Dr, Fairbanks, Alaska, USA","Fairbanks, Alaska, USA"
160,2022-11-07,Atlanta,Texas,"200 block of Pecan Ln, Atlanta, Texas, USA","Atlanta, Texas, USA"
161,2022-11-07,Laurinburg,North Carolina,"500 block of Wagram St, Laurinburg, North Carolina, USA","Laurinburg, North Carolina, USA"
162,2022-11-07,Kernersville,North Carolina,"Weatherton Dr, Kernersville, North Carolina, USA","Kernersville, North Carolina, USA"
163,2022-11-07,Memphis,Tennessee,"4625 Tchulahoma Rd, Memphis, Tennessee, USA","Memphis, Tennessee, USA"
164,2022-11-07,Columbus,Ohio,"20477 Jermain Dr, Columbus, Ohio, USA","Columbus, Ohio, USA"
165,2022-11-07,Warren,Ohio,"100 block of Charles Ave SE, Warren, Ohio, USA","Warren, Ohio, USA"
166,2022-11-07,Magnolia,Kentucky,"92 Eve Hwy, Magnolia, Kentucky, USA","Magnolia, Kentucky, USA"
167,2022-11-07,Warner Robins,Georgia,"51 Cohen Walker Dr, Warner Robins, Georgia, USA","Warner Robins, Georgia, USA"
168,2022-11-07,Houston,Texas,"3441 Mainer St, Houston, Texas, USA","Houston, Texas, USA"
169,2022-11-07,Charlotte,North Carolina,"400 block of Drury Dr, Charlotte, North Carolina, USA","Charlotte, North Carolina, USA"
170,2022-11-07,Redan,Georgia,"5300 block of Olde St, Redan, Georgia, USA","Redan, Georgia, USA"
171,2022-11-07,Cleveland,Ohio,"3351 Regent Rd, Cleveland, Ohio, USA","Cleveland, Ohio, USA"
172,2022-11-07,Brooklyn,New York,"565 Euclid Ave, Brooklyn, New York, USA","Brooklyn, New York, USA"
173,2022-11-07,Detroit,Michigan,"5500 block of Ivanhoe St, Detroit, Michigan, USA","Detroit, Michigan, USA"
174,2022-11-07,Baltimore,Maryland,"4000 block of E Lombard St, Baltimore, Maryland, USA","Baltimore, Maryland, USA"
175,2022-11-07,West Memphis,Arkansas,"I-40 and Mound City Rd, West Memphis, Arkansas, USA","West Memphis, Arkansas, USA"
176,2022-11-07,Weaverville,California,"600 block of Main St, Weaverville, California, USA","Weaverville, California, USA"
177,2022-11-07,Bonaire,Georgia,"122 Edgarton Way, Bonaire, Georgia, USA","Bonaire, Georgia, USA"
178,2022-11-07,Indianapolis,Indiana,"3200 block of Nightsong Dr, Indianapolis, Indiana, USA","Indianapolis, Indiana, USA"
179,2022-11-07,Amarillo,Texas,"7865 Canyon Dr, Amarillo, Texas, USA","Amarillo, Texas, USA"
180,2022-11-07,Philadelphia,Pennsylvania,"Broad St and Fairmount Ave, Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA"
181,2022-11-07,Silsbee,Texas,"2500 block of Pine Park Dr, Silsbee, Texas, USA","Silsbee, Texas, USA"
182,2022-11-07,Peoria,Illinois,"500 block of W Gift Ave, Peoria, Illinois, USA","Peoria, Illinois, USA"
183,2022-11-07,San Francisco,California,"3rd St and La Salle Ave, San Francisco, California, USA","San Francisco, California, USA"
184,2022-11-07,Little Rock,Arkansas,"3225 Dr Martin Luther King Jr Dr, Little Rock, Arkansas, USA","Little Rock, Arkansas, USA"
185,2022-11-07,Little Rock,Arkansas,"4710 Sam Peck Rd, Little Rock, Arkansas, USA","Little Rock, Arkansas, USA"
186,2022-11-07,Rutland,Vermont,"State St  and Cleveland Ave, Rutland, Vermont, USA","Rutland, Vermont, USA"
187,2022-11-07,San Antonio (Leon Valley),Texas,"Grass Hill Dr and Samaritan Dr, San Antonio (Leon Valley), Texas, USA","San Antonio (Leon Valley), Texas, USA"
188,2022-11-07,Johnson City,Tennessee,"1700 block of E Unaka Ave, Johnson City, Tennessee, USA","Johnson City, Tennessee, USA"
189,2022-11-07,Hartford,Connecticut,"135 Nelson St, Hartford, Connecticut, USA","Hartford, Connecticut, USA"
190,2022-11-07,Brooklyn,New York,"483 Ridgewood Ave, Brooklyn, New York, USA","Brooklyn, New York, USA"
191,2022-11-07,Mobile,Alabama,"800 block of Bryant St, Mobile, Alabama, USA","Mobile, Alabama, USA"
192,2022-11-07,Detroit,Michigan,"19233 Lahser Rd, Detroit, Michigan, USA","Detroit, Michigan, USA"
193,2022-11-06,Norfolk,Virginia,"3500 block of N Military Hwy, Norfolk, Virginia, USA","Norfolk, Virginia, USA"
194,2022-11-06,Pell City,Alabama,"Cooks Springs Rd, Pell City, Alabama, USA","Pell City, Alabama, USA"
195,2022-11-06,Cleveland,Ohio,"2500 block of Jelliffe St, Cleveland, Ohio, USA","Cleveland, Ohio, USA"
196,2022-11-06,Telford,Tennessee,"Rauhof Rd, Telford, Tennessee, USA","Telford, Tennessee, USA"
197,2022-11-06,Dyersburg,Tennessee,"1401 Meeks St, Dyersburg, Tennessee, USA","Dyersburg, Tennessee, USA"
198,2022-11-06,Raleigh,North Carolina,"600 block of Bragg St, Raleigh, North Carolina, USA","Raleigh, North Carolina, USA"
199,2022-11-06,Cleveland,Ohio,"Gay Ave and E 124th St, Cleveland, Ohio, USA","Cleveland, Ohio, USA"
200,2022-11-06,Tulsa,Oklahoma,"S Garnett Rd and E 11th St, Tulsa, Oklahoma, USA","Tulsa, Oklahoma, USA"
201,2022-11-06,Chicago,Illinois,"259 W 99th St, Chicago, Illinois, USA","Chicago, Illinois, USA"
202,2022-11-06,Florence,South Carolina,"Ervin St, Florence, South Carolina, USA","Florence, South Carolina, USA"
203,2022-11-06,Charlotte,North Carolina,"4300 block of Central Ave, Charlotte, North Carolina, USA","Charlotte, North Carolina, USA"
204,2022-11-06,Chicago,Illinois,"311 W Chicago Ave, Chicago, Illinois, USA","Chicago, Illinois, USA"
205,2022-11-06,Pueblo,Colorado,"3200 block of Nuckolls Ave, Pueblo, Colorado, USA","Pueblo, Colorado, USA"
206,2022-11-06,Hartford,Connecticut,"100 Weston St, Hartford, Connecticut, USA","Hartford, Connecticut, USA"
207,2022-11-06,Memphis,Tennessee,"3100 block of Madewell St, Memphis, Tennessee, USA","Memphis, Tennessee, USA"
208,2022-11-06,Saint Marys,West Virginia,"3500 block of Federal Ridge Rd, Saint Marys, West Virginia, USA","Saint Marys, West Virginia, USA"
209,2022-11-06,Mesa,Arizona,"1770 W Emelita Ave, Mesa, Arizona, USA","Mesa, Arizona, USA"
210,2022-11-06,Chattanooga,Tennessee,"600 block of Block St, Chattanooga, Tennessee, USA","Chattanooga, Tennessee, USA"
211,2022-11-06,Atlanta,Georgia,"3809 Stephanie Way SW, Atlanta, Georgia, USA","Atlanta, Georgia, USA"
212,2022-11-06,Saint Louis,Missouri,"7700 block of Alaska Ave, Saint Louis, Missouri, USA","Saint Louis, Missouri, USA"
213,2022-11-06,Mesa,Arizona,"7520 E Billings St, Mesa, Arizona, USA","Mesa, Arizona, USA"
214,2022-11-06,Decatur,Georgia,"600 block of Creste Ln, Decatur, Georgia, USA","Decatur, Georgia, USA"
215,2022-11-06,Tampa,Florida,"W Hillsborough Ave and N Dale Mabry Hwy, Tampa, Florida, USA","Tampa, Florida, USA"
216,2022-11-06,Fort Pierce,Florida,"100 block of Hilton Dr, Fort Pierce, Florida, USA","Fort Pierce, Florida, USA"
217,2022-11-06,Bowling Green,Kentucky,"3000 block of Spring Hollow Ave, Bowling Green, Kentucky, USA","Bowling Green, Kentucky, USA"
218,2022-11-06,Baltimore,Maryland,"W Lafayette Ave and N Fulton Ave, Baltimore, Maryland, USA","Baltimore, Maryland, USA"
219,2022-11-06,Willowbrook,Illinois,"200 block of Kacie Ct, Willowbrook, Illinois, USA","Willowbrook, Illinois, USA"
220,2022-11-06,Columbia,Missouri,"1600 block of Boyd Ln, Columbia, Missouri, USA","Columbia, Missouri, USA"
221,2022-11-06,Tucson,Arizona,"5000 block of W Nighthawk Way, Tucson, Arizona, USA","Tucson, Arizona, USA"
222,2022-11-06,North Hills,California,"8424 Sepulveda Blvd, North Hills, California, USA","North Hills, California, USA"
223,2022-11-06,Zion,Illinois,"2100 block of Bethesda Blvd, Zion, Illinois, USA","Zion, Illinois, USA"
