"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2457637,"November 10, 2022",Illinois,Chicago,"800 block of E 62nd St",1,0,N/A
2458160,"November 10, 2022",Florida,Jacksonville,"Ring Ln",1,0,N/A
2457630,"November 10, 2022",Illinois,Chicago,"50 block of E 75th St",1,0,N/A
2457618,"November 10, 2022",Illinois,Chicago,"4400 block of S Calumet Ave",1,0,N/A
2457595,"November 10, 2022",Louisiana,Shreveport,"400 block of Boulevard St",1,0,N/A
2457253,"November 10, 2022",Georgia,Swainsboro,"226 Washington St",1,0,N/A
2457580,"November 10, 2022",Louisiana,"New Orleans","5104 St Claude Ave",1,0,N/A
2457547,"November 10, 2022",California,"Los Angeles","2300 block of N Cahuenga Blvd",1,0,N/A
2457521,"November 10, 2022",Louisiana,"Baton Rouge","11314 Boardwalk Dr",1,0,N/A
2456391,"November 9, 2022",Virginia,Oakton,"11400 block of Waples Mill Rd",1,0,N/A
2458101,"November 9, 2022",Alabama,Hatton,"8000 block of County Rd 236",1,0,N/A
2456808,"November 9, 2022",Kansas,"Kansas City","2700 block of Wood Ave",1,0,N/A
2457368,"November 9, 2022",Connecticut,Hartford,"Capen St and Main St",1,0,N/A
2457348,"November 9, 2022",Ohio,Toledo,"3852 Leybourn Ave",2,0,N/A
2456836,"November 9, 2022",Colorado,"Grand Junction","1100 block of 22 Rd",1,0,N/A
2456889,"November 9, 2022",Illinois,Chicago,"10600 block of S Yates Ave",1,0,N/A
2457146,"November 9, 2022",Nevada,"North Las Vegas","Craig Rd and Revere St",1,0,N/A
2457070,"November 9, 2022",California,Kingsburg,"801 Stroud Ave",1,0,N/A
2456253,"November 9, 2022",Florida,Tampa,"8600 block of N 11th St",1,0,N/A
2456063,"November 9, 2022",Maryland,"Silver Spring","554 Southampton Dr",1,2,N/A
2457124,"November 9, 2022",Arizona,Chandler,"E Pecos Rd and S Arizona Ave",1,1,N/A
2457063,"November 9, 2022",Colorado,"Denver (Northglenn)","Fox Run Pkwy and Fox Run Cir",1,0,N/A
2457048,"November 9, 2022",Pennsylvania,Pittsburgh,"1928 Cochran Rd",1,0,N/A
2457041,"November 9, 2022",Illinois,Urbana,"1300 block of S Philo Rd",1,0,N/A
2457004,"November 9, 2022",Pennsylvania,Philadelphia,"5401 Akron St",1,0,N/A
2457001,"November 9, 2022",Texas,Killeen,"200 block of E Bryce Ave",1,0,N/A
2457498,"November 9, 2022",Georgia,Decatur,"4740 Flat Shoals Pkwy",1,0,N/A
2456610,"November 9, 2022","North Carolina",Erwin,"Lucas Rd",1,0,N/A
2456969,"November 9, 2022",Ohio,Toledo,"600 block of Locust Ave",1,0,N/A
2456967,"November 9, 2022","New York","Corona (Queens)","Parsons Blvd and Franklin Ave",1,0,N/A
2456512,"November 9, 2022",California,Merced,"Q St and W 12th St",1,0,N/A
2456954,"November 9, 2022",Illinois,Chicago,"3700 block of W Chicago Ave",1,0,N/A
2456894,"November 9, 2022",Oklahoma,Catoosa,"25010 Alliance Dr",1,0,N/A
2456986,"November 9, 2022",Indiana,Connersville,"5700 block of S State Rd 1",1,0,N/A
2456142,"November 9, 2022",Florida,Newberry,"27726 SW 87th Ave",1,0,N/A
2456871,"November 9, 2022",Illinois,Chicago,"W Wallen Ave and N Clark St",1,2,N/A
2457506,"November 9, 2022",Georgia,Duluth,"2350 Stephens Center Dr",1,0,N/A
2456559,"November 9, 2022",Alabama,Dothan,"Miles Lane",1,0,N/A
2456338,"November 9, 2022",Alabama,Birmingham,"4500 Richard Arrington Jr Blvd",1,0,N/A
2456538,"November 9, 2022",Massachusetts,Boston,"Paxton St and Harvard St",1,0,N/A
2456735,"November 9, 2022",Louisiana,"New Orleans","131000 block of Bishop Morton Dr",1,0,N/A
2456703,"November 8, 2022",Arkansas,"Little Rock","4612 Grand Ave",1,0,N/A
2455574,"November 8, 2022",Minnesota,"Minneapolis (Brooklyn Park)","6355 Zane Ave N",1,1,N/A
2456510,"November 8, 2022",Virginia,Richmond,"1400 block of Drewry St",1,0,N/A
2456378,"November 8, 2022",Tennessee,"Memphis (Bartlett)","6390 Summer Ave",1,0,N/A
2456633,"November 8, 2022",California,"South Gate","3000 block of Firestone Blvd",1,0,N/A
2456533,"November 8, 2022",Connecticut,"New Haven","282 Ferry St",1,0,N/A
2456529,"November 8, 2022","North Carolina",Jacksonville,"White St",1,0,N/A
2455768,"November 8, 2022",Tennessee,Memphis,"W Levi Rd and Hammett Dr",1,1,N/A
2455760,"November 8, 2022",Tennessee,Memphis,"6133 Winchester Rd",1,0,N/A
2456330,"November 8, 2022",Georgia,Whigham,"Swamp Creek Rd",1,0,N/A
2455876,"November 8, 2022",Illinois,Chicago,"3401 W Huron St",1,0,N/A
2455693,"November 8, 2022",Georgia,Columbus,"Parkwood Dr and Braebern St",1,0,N/A
2455638,"November 8, 2022",Georgia,"Villa Rica","N Lassetter Cir and Villa Trace",1,0,N/A
2455775,"November 8, 2022",Colorado,Lafayette,"201 W South Boulder Rd",1,1,N/A
2456169,"November 8, 2022",Florida,Umatilla,"38000 block of Merrell Ave",1,0,N/A
2456138,"November 8, 2022",Florida,Gainesville,"100 block of NE 22nd St",1,0,N/A
2455702,"November 8, 2022",Maryland,"Temple Hills (Hillcrest Heights)","Jameson St and 21st Ave",1,0,N/A
2457664,"November 8, 2022",Indiana,Indianapolis,"3500 block of Blue Spruce Ln",1,0,N/A
2455398,"November 8, 2022",Pennsylvania,Philadelphia,"Broad St and Ellsworth St",1,1,N/A
2456180,"November 8, 2022",Texas,Houston,"255 Assay St",2,0,N/A
2456099,"November 8, 2022",Indiana,Indianapolis,"6000 block of Massachusetts Ave",1,0,N/A
2456096,"November 8, 2022",Pennsylvania,Pittsburgh,"Reifert St and Roll St",1,0,N/A
2455403,"November 8, 2022",Pennsylvania,Philadelphia,"1900 block of Haworth St",2,0,N/A
2455675,"November 8, 2022",Tennessee,Nashville,"1200 block of Sycamore Rd",1,1,N/A
2456798,"November 8, 2022",Idaho,Bancroft,"Ivins Rd and Oregon Trail Rd",1,0,N/A
2455449,"November 8, 2022",Pennsylvania,Everett,"227 W Main St",2,0,N/A
2455732,"November 8, 2022",Texas,Dallas,"2355 N Stemmons Fwy",2,1,N/A
2456865,"November 8, 2022",Washington,Outlook,"Price Rd and Outlook Rd",1,0,N/A
2455528,"November 8, 2022",Alabama,Birmingham,"5300 block of Ave O",1,0,N/A
2455662,"November 8, 2022",Georgia,Gainesville,"1300 block of Brown St",1,0,N/A
2457515,"November 8, 2022",Georgia,"Haralson (county)",N/A,1,0,N/A
2456833,"November 8, 2022",Colorado,Greeley,"101 E 20th St",1,0,N/A
2456801,"November 8, 2022",Oklahoma,"Oklahoma City","2501 SE 51st St",1,1,N/A
2455465,"November 8, 2022",Washington,Seattle,"1819 N 135th St",1,0,N/A
2458095,"November 8, 2022",Massachusetts,Springfield,"100 block of Walden St",1,0,N/A
2455142,"November 7, 2022",Michigan,Troy,"2860 Charter Dr",1,0,N/A
2455082,"November 7, 2022",Alaska,Fairbanks,"1600 block of Washington Dr",1,0,N/A
2455898,"November 7, 2022",Texas,Atlanta,"200 block of Pecan Ln",1,0,N/A
2455823,"November 7, 2022","North Carolina",Laurinburg,"500 block of Wagram St",1,0,N/A
2454898,"November 7, 2022","North Carolina",Kernersville,"Weatherton Dr",1,1,N/A
2455655,"November 7, 2022",Tennessee,Memphis,"4625 Tchulahoma Rd",1,0,N/A
2455336,"November 7, 2022",Ohio,Columbus,"20477 Jermain Dr",1,1,N/A
2456442,"November 7, 2022",Ohio,Warren,"100 block of Charles Ave SE",1,0,N/A
2455782,"November 7, 2022",Kentucky,Magnolia,"92 Eve Hwy",1,0,N/A
2455592,"November 7, 2022",Georgia,"Warner Robins","51 Cohen Walker Dr",2,0,N/A
2455753,"November 7, 2022",Texas,Houston,"3441 Mainer St",1,0,N/A
2454885,"November 7, 2022","North Carolina",Charlotte,"400 block of Drury Dr",1,0,N/A
2455704,"November 7, 2022",Georgia,Redan,"5300 block of Olde St",2,0,N/A
2455152,"November 7, 2022",Ohio,Cleveland,"3351 Regent Rd",1,0,N/A
2454644,"November 7, 2022","New York",Brooklyn,"565 Euclid Ave",1,0,N/A
2454730,"November 7, 2022",Michigan,Detroit,"5500 block of Ivanhoe St",1,1,N/A
2454523,"November 7, 2022",Maryland,Baltimore,"4000 block of E Lombard St",1,0,N/A
2455576,"November 7, 2022",Arkansas,"West Memphis","I-40 and Mound City Rd",1,0,N/A
2454636,"November 7, 2022",California,Weaverville,"600 block of Main St",3,0,N/A
2455540,"November 7, 2022",Georgia,Bonaire,"122 Edgarton Way",3,0,N/A
2455436,"November 7, 2022",Indiana,Indianapolis,"3200 block of Nightsong Dr",1,0,N/A
2455432,"November 7, 2022",Texas,Amarillo,"7865 Canyon Dr",2,0,N/A
2454676,"November 7, 2022",Pennsylvania,Philadelphia,"Broad St and Fairmount Ave",1,2,N/A
2455422,"November 7, 2022",Texas,Silsbee,"2500 block of Pine Park Dr",1,0,N/A
2455568,"November 7, 2022",Illinois,Peoria,"500 block of W Gift Ave",1,1,N/A
2455547,"November 7, 2022",California,"San Francisco","3rd St and La Salle Ave",1,0,N/A
2455265,"November 7, 2022",Arkansas,"Little Rock","3225 Dr Martin Luther King Jr Dr",1,0,N/A
2455275,"November 7, 2022",Arkansas,"Little Rock","4710 Sam Peck Rd",1,0,N/A
2455198,"November 7, 2022",Vermont,Rutland,"State St  and Cleveland Ave",1,0,N/A
2455259,"November 7, 2022",Texas,"San Antonio (Leon Valley)","Grass Hill Dr and Samaritan Dr",1,0,N/A
2455172,"November 7, 2022",Tennessee,"Johnson City","1700 block of E Unaka Ave",1,0,N/A
2455986,"November 7, 2022",Connecticut,Hartford,"135 Nelson St",1,0,N/A
2455307,"November 7, 2022","New York",Brooklyn,"483 Ridgewood Ave",1,0,N/A
2455557,"November 7, 2022",Alabama,Mobile,"800 block of Bryant St",1,2,N/A
2454694,"November 7, 2022",Michigan,Detroit,"19233 Lahser Rd",1,0,N/A
2454942,"November 6, 2022",Virginia,Norfolk,"3500 block of N Military Hwy",1,0,N/A
2454372,"November 6, 2022",Alabama,"Pell City","Cooks Springs Rd",1,0,N/A
2455108,"November 6, 2022",Ohio,Cleveland,"2500 block of Jelliffe St",1,1,N/A
2454185,"November 6, 2022",Tennessee,Telford,"Rauhof Rd",1,0,N/A
2455102,"November 6, 2022",Tennessee,Dyersburg,"1401 Meeks St",1,0,N/A
2454297,"November 6, 2022","North Carolina",Raleigh,"600 block of Bragg St",1,0,N/A
2455093,"November 6, 2022",Ohio,Cleveland,"Gay Ave and E 124th St",1,0,N/A
2454648,"November 6, 2022",Oklahoma,Tulsa,"S Garnett Rd and E 11th St",1,0,N/A
2454337,"November 6, 2022",Illinois,Chicago,"259 W 99th St",1,0,N/A
2455043,"November 6, 2022","South Carolina",Florence,"Ervin St",1,1,N/A
2454268,"November 6, 2022","North Carolina",Charlotte,"4300 block of Central Ave",1,0,N/A
2453865,"November 6, 2022",Illinois,Chicago,"311 W Chicago Ave",1,3,N/A
2454107,"November 6, 2022",Colorado,Pueblo,"3200 block of Nuckolls Ave",1,1,N/A
2454821,"November 6, 2022",Connecticut,Hartford,"100 Weston St",1,0,N/A
2454225,"November 6, 2022",Tennessee,Memphis,"3100 block of Madewell St",1,0,N/A
2455695,"November 6, 2022","West Virginia","Saint Marys","3500 block of Federal Ridge Rd",1,0,N/A
2454302,"November 6, 2022",Arizona,Mesa,"1770 W Emelita Ave",1,0,N/A
2454171,"November 6, 2022",Tennessee,Chattanooga,"600 block of Block St",1,0,N/A
2454178,"November 6, 2022",Georgia,Atlanta,"3809 Stephanie Way SW",1,0,N/A
2454756,"November 6, 2022",Missouri,"Saint Louis","7700 block of Alaska Ave",1,0,N/A
2455743,"November 6, 2022",Arizona,Mesa,"7520 E Billings St",1,0,N/A
2454180,"November 6, 2022",Georgia,Decatur,"600 block of Creste Ln",1,0,N/A
2454066,"November 6, 2022",Florida,Tampa,"W Hillsborough Ave and N Dale Mabry Hwy",1,0,N/A
2454127,"November 6, 2022",Florida,"Fort Pierce","100 block of Hilton Dr",1,0,N/A
2453946,"November 6, 2022",Kentucky,"Bowling Green","3000 block of Spring Hollow Ave",1,0,N/A
2454687,"November 6, 2022",Maryland,Baltimore,"W Lafayette Ave and N Fulton Ave",1,0,N/A
2455552,"November 6, 2022",Illinois,Willowbrook,"200 block of Kacie Ct",1,0,N/A
2454196,"November 6, 2022",Missouri,Columbia,"1600 block of Boyd Ln",2,0,N/A
2454658,"November 6, 2022",Arizona,Tucson,"5000 block of W Nighthawk Way",1,0,N/A
2454464,"November 6, 2022",California,"North Hills","8424 Sepulveda Blvd",1,0,N/A
2454592,"November 6, 2022",Illinois,Zion,"2100 block of Bethesda Blvd",1,0,N/A
2454628,"November 6, 2022",Florida,"Fort Lauderdale (Davie)","4800 Griffin Rd",1,1,N/A
2454631,"November 6, 2022",California,Oakland,"1300 block of 103rd Ave",1,0,N/A
2454606,"November 6, 2022",Oklahoma,Wewoka,N/A,1,1,N/A
2457032,"November 6, 2022","South Dakota",Yankton,"Whiting Dr",1,0,N/A
2454043,"November 6, 2022",Florida,Jacksonville,"2500 block of Orion St",1,0,N/A
2454045,"November 6, 2022",Florida,Jacksonville,"1600 block of Myrtle Ave",1,0,N/A
2454478,"November 6, 2022",California,Bakersfield,"Lynwood St and College Ave",1,0,N/A
2454028,"November 6, 2022",Pennsylvania,Shippensburg,"Coover Ave and N Queen St",1,0,N/A
2453960,"November 6, 2022",Maryland,Baltimore,"W Rogers Ave and Denmore Ave",1,0,N/A
2454092,"November 6, 2022",Nebraska,Omaha,"N 49th Ave and Miami St",1,0,N/A
2454549,"November 6, 2022",Pennsylvania,Pittsburgh,"900 block of Millerdale St",1,0,N/A
2454367,"November 6, 2022",Pennsylvania,Philadelphia,"8300 block of Bustleton Ave",1,1,N/A
2453943,"November 6, 2022",Indiana,Indianapolis,"4625 Byrkit St",1,0,N/A
2454474,"November 6, 2022",Montana,Billings,"200 block of S 29th St",1,0,N/A
2453911,"November 6, 2022",Illinois,Chicago,"3000 block of W 23rd St",1,0,N/A
2454753,"November 6, 2022",Georgia,Jonesboro,"Tara Blvd and Old Dixie Rd",1,0,N/A
2455341,"November 6, 2022",Ohio,Springfield,"100 block of Willis Ave",1,0,N/A
2456017,"November 6, 2022",Washington,Newport,"400 block of W 7th St",1,0,N/A
2455255,"November 6, 2022",Alabama,Pinson,"Pinson Valley Pkwy and Cleage Dr",1,0,N/A
2454165,"November 6, 2022",Texas,"San Antonio","1331 S W W White Rd",1,0,N/A
2454295,"November 6, 2022",Wisconsin,Milwaukee,"4500 block of N 76th St",1,0,N/A
2453850,"November 6, 2022",Wisconsin,Milwaukee,"2100 block of W Keefe Ave",1,0,N/A
2454904,"November 6, 2022",Virginia,Roanoke,"700 block of 29th St NW",1,0,N/A
2454399,"November 6, 2022",Massachusetts,Taunton,"Mason St and Myrtle St",1,0,N/A
2454374,"November 6, 2022",Massachusetts,Boston,"10 Orlando St",1,1,N/A
2454354,"November 6, 2022",Massachusetts,Brockton,"James St",1,0,N/A
2455161,"November 6, 2022",Texas,"Missouri City","11508 State Hwy 6",1,0,N/A
2454430,"November 6, 2022",Louisiana,Alexandria,"7th St and Broadway Ave",1,0,N/A
2453845,"November 5, 2022",Texas,Houston,"13360 Northborough Dr",1,0,N/A
2453710,"November 5, 2022",Illinois,Chicago,"8000 block of S. Jeffery Ave",1,1,N/A
2453706,"November 5, 2022",Louisiana,"Baton Rouge","1331 N Sherwood Forest Dr",1,0,N/A
2455120,"November 5, 2022",Texas,"Fort Worth","Highway 360 and Trinity Boulevard",1,0,N/A
2456653,"November 5, 2022",California,Ceres,"2657 Redwood Rd",2,0,N/A
2456636,"November 5, 2022",Arkansas,"El Dorado","2322 Oxford St",1,0,N/A
2453686,"November 5, 2022",Indiana,"Terre Haute","4000 block of North Creal St",2,0,N/A
2453677,"November 5, 2022",Arizona,Glendale,"51st Ave and Camelback Rd",1,2,N/A
2453670,"November 5, 2022","South Carolina",Summerville,"100 block of Kensington Pl",1,0,N/A
2453568,"November 5, 2022",Virginia,"Virginia Beach","4600 block of Staghorn Dr",1,0,N/A
2453651,"November 5, 2022","New Mexico",Albuquerque,"Tramway Blvd NE and Rover Ave NE",1,0,N/A
2454703,"November 5, 2022",Michigan,"Mount Pleasant","2755 S Ivy Ln",1,1,N/A
2453635,"November 5, 2022",Virginia,Richmond,"2500 block of Lancelot Ave",1,0,N/A
2453586,"November 5, 2022",Pennsylvania,Unityville,"4300 block of PA-239",4,0,N/A
2453684,"November 5, 2022","South Carolina",Florence,"Autumn Ln",1,0,N/A
2453607,"November 5, 2022",Virginia,Norfolk,"4600 block of Kincaid Ave",1,0,N/A
2453513,"November 5, 2022","North Carolina",Durham,"700 block of N Hyde Park Ave",1,0,N/A
2455186,"November 5, 2022",Ohio,Euclid,"424 E 254th St",1,0,N/A
2455411,"November 5, 2022",Texas,Euless,"3700 block of Paradise Hills Dr",1,0,N/A
2453401,"November 5, 2022",Ohio,Columbus,"2000 block of Radnor Ave",1,0,N/A
2454163,"November 5, 2022",Georgia,Augusta,"3073 Deans Bridge Rd",1,0,N/A
2454013,"November 5, 2022",Ohio,Okeana,"2700 block of Chapel Rd",1,0,N/A
2453602,"November 5, 2022",Missouri,"Saint Louis","1400 block of Cass Ave",1,1,N/A
2456286,"November 5, 2022",Arizona,"Bullhead City","1700 block of Cyprus Ln",1,0,N/A
2454173,"November 5, 2022",Georgia,Atlanta,"1085 Katherwood Dr SW",1,2,N/A
2454256,"November 5, 2022",Georgia,Calhoun,"Neal St",1,0,N/A
2454167,"November 5, 2022",Missouri,"Saint Louis","3900 block of Schiller Pl",2,0,N/A
2453468,"November 5, 2022","North Carolina",Hickory,"Highland Ave NE and Ninth Ave",1,1,N/A
2453833,"November 5, 2022",Texas,Houston,"600 block of Gale St",1,0,N/A
2453831,"November 5, 2022",Texas,Spring,"1950 Louetta Rd",1,0,N/A
2453550,"November 5, 2022",Colorado,Denver,"800 block of N Yates St",1,0,N/A
2453325,"November 5, 2022",Maryland,Baltimore,"4700 block of Garrison Blvd",1,1,N/A
2454997,"November 5, 2022","North Carolina","Bryson City","1653 Timber Estates Rd",2,0,N/A
2454089,"November 5, 2022",Florida,Gretna,"Broad Ave and Railroad St",1,0,N/A
2454006,"November 5, 2022",Florida,Niceville,"138 Adams St",1,0,N/A
2453626,"November 5, 2022",Illinois,Belleville,"300 block of S Church St",1,2,N/A
2453481,"November 5, 2022",Oklahoma,Lawton,"1825 NW Cache Rd",1,0,N/A
2454031,"November 5, 2022",Pennsylvania,"Belle Vernon","170 Sara Way",1,0,N/A
2454036,"November 5, 2022",Florida,Jacksonville,"2300 Philips Hwy",1,0,N/A
2453986,"November 5, 2022",Maryland,Baltimore,"2500 block of E Biddle St",1,0,N/A
2453427,"November 5, 2022",Maryland,Baltimore,"1400 block of N Potomac St",1,0,N/A
2454021,"November 5, 2022",Alabama,Athens,"14000 Block of Chris Way",1,0,N/A
2453382,"November 5, 2022",Texas,"Dripping Springs","100 block of Victoria Ct",1,1,N/A
2453998,"November 5, 2022",Florida,"West Palm Beach","6500 block of Monmouth Rd",2,0,N/A
2453820,"November 5, 2022",California,"San Diego","1600 Block of K St",1,0,N/A
2456050,"November 5, 2022",Washington,Steilacoom,"1914 Commercial St",1,1,N/A
2453413,"November 5, 2022",Indiana,Indianapolis,"1701 E 25th St",1,0,N/A
2454480,"November 5, 2022",Illinois,Zion,"1900 block of Ezra Ave",1,1,N/A
2454432,"November 5, 2022",Louisiana,Minden,N/A,1,0,N/A
2454436,"November 5, 2022",Alabama,Attalla,"811 Cleveland Ave",1,0,N/A
2455059,"November 5, 2022",Virginia,Dryden,"Jesse Peters Dr",1,0,N/A
2453798,"November 5, 2022",Pennsylvania,Philadelphia,"2300 block of N 25th St",1,0,N/A
2453800,"November 5, 2022",Pennsylvania,Philadelphia,"3100 block of N 33rd St",1,0,N/A
2454222,"November 5, 2022",Tennessee,Memphis,"2212 Woodfield Park Dr",1,0,N/A
2453908,"November 5, 2022",Wisconsin,Milwaukee,"4400 block of N 36th St",1,0,N/A
2453739,"November 5, 2022","New Jersey",Irvington,"Smalley Terr and Oak Ave",1,0,N/A
